"","sample_event","site","subsample","index","time","length_mm","behavior","distance_cm_per_sec","DistPerTime_Mean","DistPerTime_Median","NND_cm","volume","drift_forage","search_forage","benthic_forage","movement","surface_strike","attack"
"1","before","18.2",1,1,0,88.5791283705661,"Movement",NA,NA,NA,29.87591,3.57277640442334,0,0,0,1,0,0
"2","after","18.6",1,1,0,60.9200674832897,"Drift_Forage",NA,NA,NA,7.07431,279.483730736856,1,0,0,0,0,0
"3","before","18.2",1,1,3,88.5791283705661,"Movement",0.628458250647037,0.360234769942718,0.292365072150424,28.26916,3.57277640442334,0,0,0,1,0,0
"4","before","18.2",1,1,6,88.5791283705661,"Movement",0.373521979685562,0.360234769942718,0.292365072150424,28.30914,3.57277640442334,0,0,0,1,0,0
"5","after","18.6",1,1,6,60.9200674832897,"Drift_Forage",2.00527654983098,3.3978991611836,3.26884301216591,5.04985,279.483730736856,1,0,0,0,0,0
"6","before","18.2",1,1,9,88.5791283705661,"Movement",0.618916785956723,0.360234769942718,0.292365072150424,28.1184,3.57277640442334,0,0,0,1,0,0
"7","after","18.6",1,1,9,60.9200674832897,"Drift_Forage",5.32403769354508,3.3978991611836,3.26884301216591,5.30593,279.483730736856,1,0,0,0,0,0
"8","before","18.2",1,1,12,88.5791283705661,"Movement",0.282388379696985,0.360234769942718,0.292365072150424,28.70456,3.57277640442334,0,0,0,1,0,0
"9","before","18.2",1,1,12,88.5791283705661,"Movement",0.282388379696985,0.360234769942718,0.292365072150424,28.70456,3.57277640442334,0,0,0,1,0,0
"10","before","18.2",1,1,12,88.5791283705661,"Movement",0.282388379696985,0.360234769942718,0.292365072150424,28.70456,3.57277640442334,0,0,0,1,0,0
"11","after","18.6",1,1,12,60.9200674832897,"Search_Forage",4.61691530245212,3.3978991611836,3.26884301216591,7.52302,279.483730736856,0,1,0,0,0,0
"12","before","18.2",1,1,15,88.5791283705661,"Movement",0.302341764603863,0.360234769942718,0.292365072150424,29.44956,3.57277640442334,0,0,0,1,0,0
"13","before","18.2",1,1,18,88.5791283705661,"Movement",0.174645807401407,0.360234769942718,0.292365072150424,NA,3.57277640442334,0,0,0,1,0,0
"14","before","18.2",1,1,21,88.5791283705661,"Movement",0.229923264384254,0.360234769942718,0.292365072150424,NA,3.57277640442334,0,0,0,1,0,0
"15","after","18.6",1,1,21,60.9200674832897,"Surface_Strike",1.7744232479239,3.3978991611836,3.26884301216591,10.37973,279.483730736856,0,0,0,0,1,0
"16","before","18.2",1,1,24,88.5791283705661,"Movement",0.275290760040887,0.360234769942718,0.292365072150424,NA,3.57277640442334,0,0,0,1,0,0
"17","after","18.6",1,1,24,60.9200674832897,"Search_Forage",3.26884301216591,3.3978991611836,3.26884301216591,6.83051,279.483730736856,0,1,0,0,0,0
"18","before","18.2",1,1,27,88.5791283705661,"Movement",0.235651326977661,0.360234769942718,0.292365072150424,NA,3.57277640442334,0,0,0,1,0,0
"19","before","18.2",1,1,30,88.5791283705661,"Movement",0.481209380032804,0.360234769942718,0.292365072150424,NA,3.57277640442334,0,0,0,1,0,0
"20","before","18.4",1,1,93.006584,55.7711798398646,"Drift_Forage",NA,NA,NA,37.81955,23.1973613280269,1,0,0,0,0,0
"21","before","18.4",1,1,93.006584,55.7711798398646,"Drift_Forage",NA,NA,NA,37.81955,23.1973613280269,1,0,0,0,0,0
"22","before","18.4",1,1,93.006584,55.7711798398646,"Drift_Forage",NA,NA,NA,37.81955,23.1973613280269,1,0,0,0,0,0
"23","before","18.4",1,1,96.006584,55.7711798398646,"Drift_Forage",0.42515663620221,0.664132331829313,0.611333618085658,42.02836,23.1973613280269,1,0,0,0,0,0
"24","before","18.4",1,1,102.006584,55.7711798398646,"Drift_Forage",1.32904396212212,0.664132331829313,0.611333618085658,37.79369,23.1973613280269,1,0,0,0,0,0
"25","before","18.4",1,1,105.006584,55.7711798398646,"Drift_Forage",0.792169764722535,0.664132331829313,0.611333618085658,39.31097,23.1973613280269,1,0,0,0,0,0
"26","before","18.4",1,1,108.006584,55.7711798398646,"Drift_Forage",0.66484104796134,0.664132331829313,0.611333618085658,40.03707,23.1973613280269,1,0,0,0,0,0
"27","before","18.4",1,1,111.006584,55.7711798398646,"Drift_Forage",0.360341060567161,0.664132331829313,0.611333618085658,39.06462,23.1973613280269,1,0,0,0,0,0
"28","before","18.4",1,1,114.006584,55.7711798398646,"Drift_Forage",0.57513929478277,0.664132331829313,0.611333618085658,25.06164,23.1973613280269,1,0,0,0,0,0
"29","before","18.4",1,1,117.006584,55.7711798398646,"Drift_Forage",0.518838946887823,0.664132331829313,0.611333618085658,0.07248,23.1973613280269,1,0,0,0,0,0
"30","before","18.4",1,1,117.006584,55.7711798398646,"Drift_Forage",0.518838946887823,0.664132331829313,0.611333618085658,0.07248,23.1973613280269,1,0,0,0,0,0
"31","before","18.4",1,1,117.006584,55.7711798398646,"Drift_Forage",0.518838946887823,0.664132331829313,0.611333618085658,0.07248,23.1973613280269,1,0,0,0,0,0
"32","before","18.4",1,1,117.006584,55.7711798398646,"Drift_Forage",0.518838946887823,0.664132331829313,0.611333618085658,0.07248,23.1973613280269,1,0,0,0,0,0
"33","before","18.4",1,1,120.006584,55.7711798398646,"Drift_Forage",0.647527941388546,0.664132331829313,0.611333618085658,0.02924,23.1973613280269,1,0,0,0,0,0
"34","before","18.6",1,1,168,51.9835836715087,"Search_Forage",NA,NA,NA,NA,419.809238299212,0,1,0,0,0,0
"35","before","18.6",1,1,171,51.9835836715087,"Surface_Strike",7.81836308271815,4.95814227028073,4.96437689192295,NA,419.809238299212,0,0,0,0,1,0
"36","before","18.6",1,1,174,51.9835836715087,"Search_Forage",3.28811128499172,4.95814227028073,4.96437689192295,NA,419.809238299212,0,1,0,0,0,0
"37","before","18.6",1,1,177,51.9835836715087,"Search_Forage",6.64064249885417,4.95814227028073,4.96437689192295,NA,419.809238299212,0,1,0,0,0,0
"38","before","18.6",1,1,180,51.9835836715087,"Surface_Strike",2.08545221455886,4.95814227028073,4.96437689192295,NA,419.809238299212,0,0,0,0,1,0
"39","before","18.5",1,1,300,38.3982173349672,"Search_Forage",NA,NA,NA,NA,14490.6774146519,0,1,0,0,0,0
"40","before","18.5",1,1,303,38.3982173349672,"Search_Forage",8.54613748418736,6.69044131557983,7.05238428383178,NA,14490.6774146519,0,1,0,0,0,0
"41","before","18.5",1,1,309,38.3982173349672,"Search_Forage",5.37639891565483,6.69044131557983,7.05238428383178,NA,14490.6774146519,0,1,0,0,0,0
"42","before","18.5",1,1,312,38.3982173349672,"Surface_Strike",5.1382035106129,6.69044131557983,7.05238428383178,NA,14490.6774146519,0,0,0,0,1,0
"43","before","18.5",1,1,315,38.3982173349672,"Search_Forage",7.05238428383178,6.69044131557983,7.05238428383178,NA,14490.6774146519,0,1,0,0,0,0
"44","before","18.5",1,1,318,38.3982173349672,"Search_Forage",2.48985720406356,6.69044131557983,7.05238428383178,NA,14490.6774146519,0,1,0,0,0,0
"45","before","18.5",1,1,321,38.3982173349672,"Search_Forage",2.93411408894402,6.69044131557983,7.05238428383178,NA,14490.6774146519,0,1,0,0,0,0
"46","before","18.5",1,1,324,38.3982173349672,"Search_Forage",11.4802715093647,6.69044131557983,7.05238428383178,NA,14490.6774146519,0,1,0,0,0,0
"47","before","18.5",1,1,327,38.3982173349672,"Surface_Strike",8.31392260528025,6.69044131557983,7.05238428383178,NA,14490.6774146519,0,0,0,0,1,0
"48","before","18.5",1,1,330,38.3982173349672,"Search_Forage",8.88268223827908,6.69044131557983,7.05238428383178,NA,14490.6774146519,0,1,0,0,0,0
"49","after","18.5",1,1,333,54.213595893482,"Drift_Forage",NA,NA,NA,35.013,5377.89534696088,1,0,0,0,0,0
"50","after","18.5",1,1,336,54.213595893482,"Drift_Forage",5.7638049527913,8.90366175474318,5.22841084369712,41.24992,5377.89534696088,1,0,0,0,0,0
"51","after","18.5",1,1,339,54.213595893482,"Drift_Forage",4.69301673460294,8.90366175474318,5.22841084369712,36.7194,5377.89534696088,1,0,0,0,0,0
"52","after","18.5",1,1,339.372375,54.213595893482,"Surface_Strike",12.2712799661389,8.90366175474318,5.22841084369712,NA,5377.89534696088,0,0,0,0,1,0
"53","after","18.5",1,1,342,54.213595893482,"Drift_Forage",4.41735462623716,8.90366175474318,5.22841084369712,39.21412,5377.89534696088,1,0,0,0,0,0
"54","after","18.5",1,1,345,54.213595893482,"Drift_Forage",4.63973897743929,8.90366175474318,5.22841084369712,38.65073,5377.89534696088,1,0,0,0,0,0
"55","after","18.5",1,1,347.680664,54.213595893482,"Surface_Strike",4.0583451664232,8.90366175474318,5.22841084369712,NA,5377.89534696088,0,0,0,0,1,0
"56","after","18.5",1,1,348,54.213595893482,"Drift_Forage",12.5159732363327,8.90366175474318,5.22841084369712,25.99159,5377.89534696088,1,0,0,0,0,0
"57","after","18.5",1,1,351,54.213595893482,"Drift_Forage",3.07854373795362,8.90366175474318,5.22841084369712,40.59166,5377.89534696088,1,0,0,0,0,0
"58","after","18.5",1,1,353.486481,54.213595893482,"Surface_Strike",6.35588007895517,8.90366175474318,5.22841084369712,NA,5377.89534696088,0,0,0,0,1,0
"59","after","18.5",1,1,354,54.213595893482,"Drift_Forage",31.8196639959562,8.90366175474318,5.22841084369712,47.53561,5377.89534696088,1,0,0,0,0,0
"60","after","18.5",1,1,357,54.213595893482,"Drift_Forage",3.36520209804553,8.90366175474318,5.22841084369712,35.7095,5377.89534696088,1,0,0,0,0,0
"61","after","18.5",1,1,360,54.213595893482,"Drift_Forage",13.8651374860421,8.90366175474318,5.22841084369712,0.12301,5377.89534696088,1,0,0,0,0,0
"62","after","18.1",1,1,453,61.6912676127281,"Movement",NA,NA,NA,56.42343,NA,0,0,0,1,0,0
"63","after","18.4",1,1,453.00293,46.7141220852988,"Drift_Forage",NA,NA,NA,55.87194,66.6920018233544,1,0,0,0,0,0
"64","after","18.1",1,1,456,61.6912676127281,"Movement",5.8385163102532,5.8385163102532,5.8385163102532,71.00824,NA,0,0,0,1,0,0
"65","after","18.4",1,1,456.00293,46.7141220852988,"Drift_Forage",2.05423586245738,1.98127982881942,1.87042595611974,34.06348,66.6920018233544,1,0,0,0,0,0
"66","after","18.4",1,1,459.00293,46.7141220852988,"Surface_Strike",1.24196890070838,1.98127982881942,1.87042595611974,28.68496,66.6920018233544,0,0,0,0,1,0
"67","after","18.4",1,1,459.00293,46.7141220852988,"Surface_Strike",1.24196890070838,1.98127982881942,1.87042595611974,28.68496,66.6920018233544,0,0,0,0,1,0
"68","after","18.4",1,1,459.00293,46.7141220852988,"Surface_Strike",1.24196890070838,1.98127982881942,1.87042595611974,28.68496,66.6920018233544,0,0,0,0,1,0
"69","after","18.4",1,1,462.00293,46.7141220852988,"Drift_Forage",1.87042595611974,1.98127982881942,1.87042595611974,3.78728,66.6920018233544,1,0,0,0,0,0
"70","after","18.4",1,1,465.00293,46.7141220852988,"Drift_Forage",2.50179511074204,1.98127982881942,1.87042595611974,10.63774,66.6920018233544,1,0,0,0,0,0
"71","after","18.4",1,1,468.00293,46.7141220852988,"Drift_Forage",0.794628789275498,1.98127982881942,1.87042595611974,6.10915,66.6920018233544,1,0,0,0,0,0
"72","after","18.4",1,1,471.00293,46.7141220852988,"Drift_Forage",3.26669608278432,1.98127982881942,1.87042595611974,NA,66.6920018233544,1,0,0,0,0,0
"73","after","18.4",1,1,474.00293,46.7141220852988,"Drift_Forage",1.22488254413982,1.98127982881942,1.87042595611974,NA,66.6920018233544,1,0,0,0,0,0
"74","after","18.4",1,1,477.00293,46.7141220852988,"Drift_Forage",3.11308252976137,1.98127982881942,1.87042595611974,101.77937,66.6920018233544,1,0,0,0,0,0
"75","after","18.4",1,1,480.00293,46.7141220852988,"Drift_Forage",1.76380268338626,1.98127982881942,1.87042595611974,8.50088,66.6920018233544,1,0,0,0,0,0
"76","after","18.2",1,1,483,66.7587444210694,"Movement",NA,NA,NA,NA,0.0458965309570522,0,0,0,1,0,0
"77","after","18.2",1,1,486,66.7587444210694,"Movement",0.0514904953268074,0.0996588041498855,0.093523745962664,NA,0.0458965309570522,0,0,0,1,0,0
"78","after","18.2",1,1,489,66.7587444210694,"Movement",0.0410646210570065,0.0996588041498855,0.093523745962664,NA,0.0458965309570522,0,0,0,1,0,0
"79","after","18.2",1,1,492,66.7587444210694,"Movement",0.185843513615323,0.0996588041498855,0.093523745962664,NA,0.0458965309570522,0,0,0,1,0,0
"80","after","18.2",1,1,495,66.7587444210694,"Movement",0.170971242336248,0.0996588041498855,0.093523745962664,NA,0.0458965309570522,0,0,0,1,0,0
"81","after","18.2",1,1,498,66.7587444210694,"Movement",0.13328208095656,0.0996588041498855,0.093523745962664,NA,0.0458965309570522,0,0,0,1,0,0
"82","after","18.2",1,1,501,66.7587444210694,"Movement",0.0586881004198372,0.0996588041498855,0.093523745962664,NA,0.0458965309570522,0,0,0,1,0,0
"83","after","18.2",1,1,504,66.7587444210694,"Movement",0.093523745962664,0.0996588041498855,0.093523745962664,NA,0.0458965309570522,0,0,0,1,0,0
"84","after","18.2",1,1,507,66.7587444210694,"Movement",0.135936041287397,0.0996588041498855,0.093523745962664,NA,0.0458965309570522,0,0,0,1,0,0
"85","after","18.2",1,1,510,66.7587444210694,"Movement",0.0261293963871261,0.0996588041498855,0.093523745962664,NA,0.0458965309570522,0,0,0,1,0,0
"86","before","18.1",1,1,510.00293,55.1062336055127,"Search_Forage",NA,NA,NA,NA,22.3593635245717,0,1,0,0,0,0
"87","before","18.1",1,1,516.00293,55.1062336055127,"Search_Forage",0.454805065959796,1.09250515960332,0.43963659030436,NA,22.3593635245717,0,1,0,0,0,0
"88","before","18.1",1,1,519.00293,55.1062336055127,"Search_Forage",0.43963659030436,1.09250515960332,0.43963659030436,NA,22.3593635245717,0,1,0,0,0,0
"89","before","18.1",1,1,522.00293,55.1062336055127,"Search_Forage",0.0741749908175111,1.09250515960332,0.43963659030436,NA,22.3593635245717,0,1,0,0,0,0
"90","before","18.1",1,1,534.00293,55.1062336055127,"Search_Forage",0.421350835309459,1.09250515960332,0.43963659030436,48.63316,22.3593635245717,0,1,0,0,0,0
"91","before","18.1",1,1,537.00293,55.1062336055127,"Search_Forage",4.07255831562546,1.09250515960332,0.43963659030436,NA,22.3593635245717,0,1,0,0,0,0
"92","before","18.2",1,2,0,85.4417173578063,"Movement",NA,NA,NA,29.87591,0.00536873482572614,0,0,0,1,0,0
"93","before","18.2",1,2,0,85.4417173578063,"Movement",NA,NA,NA,29.87591,0.00536873482572614,0,0,0,1,0,0
"94","before","18.2",1,2,0,85.4417173578063,"Movement",NA,NA,NA,29.87591,0.00536873482572614,0,0,0,1,0,0
"95","after","18.3",1,2,0,106.556062766246,"Movement",NA,NA,NA,NA,0.287442023322354,0,0,0,1,0,0
"96","after","18.6",1,2,0,83.367339364211,"Drift_Forage",NA,NA,NA,7.07431,4332.21712109647,1,0,0,0,0,0
"97","before","18.2",1,2,3,85.4417173578063,"Movement",0.0324439919827656,0.0623456534244009,0.0498777216565332,28.26916,0.00536873482572614,0,0,0,1,0,0
"98","before","18.2",1,2,3,85.4417173578063,"Movement",0.0324439919827656,0.0623456534244009,0.0498777216565332,28.26916,0.00536873482572614,0,0,0,1,0,0
"99","before","18.2",1,2,3,85.4417173578063,"Movement",0.0324439919827656,0.0623456534244009,0.0498777216565332,28.26916,0.00536873482572614,0,0,0,1,0,0
"100","after","18.3",1,2,3,106.556062766246,"Movement",0.533157186801626,0.57246160938934,0.579370202118439,NA,0.287442023322354,0,0,0,1,0,0
"101","after","18.6",1,2,3,83.367339364211,"Drift_Forage",3.12750781204215,4.20609066628085,3.12750781204215,6.12698,4332.21712109647,1,0,0,0,0,0
"102","before","18.2",1,2,6,85.4417173578063,"Movement",0.164171061287372,0.0623456534244009,0.0498777216565332,28.30914,0.00536873482572614,0,0,0,1,0,0
"103","after","18.3",1,2,6,106.556062766246,"Movement",0.141807107868007,0.57246160938934,0.579370202118439,NA,0.287442023322354,0,0,0,1,0,0
"104","after","18.6",1,2,6,83.367339364211,"Drift_Forage",1.62032787042434,4.20609066628085,3.12750781204215,5.04985,4332.21712109647,1,0,0,0,0,0
"105","before","18.2",1,2,9,85.4417173578063,"Movement",0.0309691979500061,0.0623456534244009,0.0498777216565332,28.1184,0.00536873482572614,0,0,0,1,0,0
"106","after","18.3",1,2,9,106.556062766246,"Movement",0.788341073417465,0.57246160938934,0.579370202118439,NA,0.287442023322354,0,0,0,1,0,0
"107","after","18.6",1,2,9,83.367339364211,"Movement",7.89965090085722,4.20609066628085,3.12750781204215,5.30593,4332.21712109647,0,0,0,1,0,0
"108","before","18.2",1,2,12,85.4417173578063,"Movement",0.0373897326682068,0.0623456534244009,0.0498777216565332,28.70456,0.00536873482572614,0,0,0,1,0,0
"109","after","18.3",1,2,12,106.556062766246,"Movement",0.695657678637834,0.57246160938934,0.579370202118439,NA,0.287442023322354,0,0,0,1,0,0
"110","before","18.2",1,2,15,85.4417173578063,"Movement",0.0696594089816059,0.0623456534244009,0.0498777216565332,29.44956,0.00536873482572614,0,0,0,1,0,0
"111","after","18.3",1,2,15,106.556062766246,"Movement",0.587256494337392,0.57246160938934,0.579370202118439,NA,0.287442023322354,0,0,0,1,0,0
"112","after","18.6",1,2,15,83.367339364211,"Movement",2.26835656302816,4.20609066628085,3.12750781204215,6.50865,4332.21712109647,0,0,0,1,0,0
"113","after","18.3",1,2,18,106.556062766246,"Movement",0.0741545378472072,0.57246160938934,0.579370202118439,NA,0.287442023322354,0,0,0,1,0,0
"114","after","18.6",1,2,18,83.367339364211,"Search_Forage",6.88036377889252,4.20609066628085,3.12750781204215,9.12899,4332.21712109647,0,1,0,0,0,0
"115","before","18.2",1,2,18.101418,85.4417173578063,"Movement",0.0368584955066773,0.0623456534244009,0.0498777216565332,NA,0.00536873482572614,0,0,0,1,0,0
"116","after","18.3",1,2,21,106.556062766246,"Movement",0.571483909899485,0.57246160938934,0.579370202118439,NA,0.287442023322354,0,0,0,1,0,0
"117","after","18.6",1,2,21,83.367339364211,"Search_Forage",7.91613160243863,4.20609066628085,3.12750781204215,10.37973,4332.21712109647,0,1,0,0,0,0
"118","before","18.2",1,2,21.101418,85.4417173578063,"Movement",0.0528634232989963,0.0623456534244009,0.0498777216565332,NA,0.00536873482572614,0,0,0,1,0,0
"119","after","18.3",1,2,24,106.556062766246,"Movement",0.884515376136058,0.57246160938934,0.579370202118439,NA,0.287442023322354,0,0,0,1,0,0
"120","after","18.6",1,2,24,83.367339364211,"Search_Forage",5.94273484682355,4.20609066628085,3.12750781204215,6.83051,4332.21712109647,0,1,0,0,0,0
"121","before","18.2",1,2,24.101418,85.4417173578063,"Movement",0.0718801220652217,0.0623456534244009,0.0498777216565332,NA,0.00536873482572614,0,0,0,1,0,0
"122","after","18.3",1,2,27,106.556062766246,"Movement",0.563738147745626,0.57246160938934,0.579370202118439,60.40665,0.287442023322354,0,0,0,1,0,0
"123","after","18.6",1,2,27,83.367339364211,"Drift_Forage",0.879240374062873,4.20609066628085,3.12750781204215,8.33856,4332.21712109647,1,0,0,0,0,0
"124","after","18.6",1,2,27,83.367339364211,"Drift_Forage",0.879240374062873,4.20609066628085,3.12750781204215,8.33856,4332.21712109647,1,0,0,0,0,0
"125","after","18.6",1,2,27,83.367339364211,"Drift_Forage",0.879240374062873,4.20609066628085,3.12750781204215,8.33856,4332.21712109647,1,0,0,0,0,0
"126","before","18.2",1,2,27.101418,85.4417173578063,"Movement",0.0803290804890869,0.0623456534244009,0.0498777216565332,NA,0.00536873482572614,0,0,0,1,0,0
"127","after","18.3",1,2,30,106.556062766246,"Movement",0.884504581202698,0.57246160938934,0.579370202118439,39.21926,0.287442023322354,0,0,0,1,0,0
"128","after","18.6",1,2,30,83.367339364211,"Drift_Forage",1.32050224795816,4.20609066628085,3.12750781204215,0.01051,4332.21712109647,1,0,0,0,0,0
"129","after","18.6",1,2,30,83.367339364211,"Drift_Forage",1.32050224795816,4.20609066628085,3.12750781204215,0.01051,4332.21712109647,1,0,0,0,0,0
"130","after","18.6",1,2,30,83.367339364211,"Drift_Forage",1.32050224795816,4.20609066628085,3.12750781204215,0.01051,4332.21712109647,1,0,0,0,0,0
"131","before","18.2",1,2,30.101418,85.4417173578063,"Movement",0.0468920200140702,0.0623456534244009,0.0498777216565332,NA,0.00536873482572614,0,0,0,1,0,0
"132","before","18.4",1,2,90.006584,66.4882913377381,"Search_Forage",NA,NA,NA,NA,53.0611185391591,0,1,0,0,0,0
"133","before","18.4",1,2,93.006584,66.4882913377381,"Search_Forage",4.43562264766603,1.12181660283356,0.165697840272314,37.81955,53.0611185391591,0,1,0,0,0,0
"134","before","18.4",1,2,96.006584,66.4882913377381,"Search_Forage",2.98638889392256,1.12181660283356,0.165697840272314,42.02836,53.0611185391591,0,1,0,0,0,0
"135","before","18.4",1,2,99.006584,66.4882913377381,"Drift_Forage",2.05735437404282,1.12181660283356,0.165697840272314,63.7646,53.0611185391591,1,0,0,0,0,0
"136","before","18.4",1,2,102.006584,66.4882913377381,"Drift_Forage",0.977674163074624,1.12181660283356,0.165697840272314,37.79369,53.0611185391591,1,0,0,0,0,0
"137","before","18.4",1,2,105.006584,66.4882913377381,"Drift_Forage",0.134511175843415,1.12181660283356,0.165697840272314,39.31097,53.0611185391591,1,0,0,0,0,0
"138","before","18.4",1,2,108.006584,66.4882913377381,"Drift_Forage",0.0605865958222869,1.12181660283356,0.165697840272314,40.03707,53.0611185391591,1,0,0,0,0,0
"139","before","18.4",1,2,111.006584,66.4882913377381,"Drift_Forage",0.103424435443897,1.12181660283356,0.165697840272314,39.06462,53.0611185391591,1,0,0,0,0,0
"140","before","18.4",1,2,114.006584,66.4882913377381,"Drift_Forage",0.176896341411197,1.12181660283356,0.165697840272314,25.06164,53.0611185391591,1,0,0,0,0,0
